,Sherpa,PoPy,VV
jet_FT_EFF_extrapolation_from_charm_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_extrapolation_from_charm_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429473.0216064453,467314.5309448242,8488.742899994832
jet_JET_JvtEfficiency_1down_central_jets_global_effSF_JVT,427777.23052978516,465853.15447998047,8439.752467255574
jet_JET_JvtEfficiency_1down_central_jets_global_ineffSF_JVT,430675.1762084961,468297.021484375,8513.297316651326
jet_JET_fJvtEfficiency_1down_forward_jets_global_effSF_JVT,427860.5426635742,466037.63958740234,8443.514855484944
jet_JET_fJvtEfficiency_1down_forward_jets_global_ineffSF_JVT,431114.8079223633,468603.2399291992,8524.63624868868
MET_SoftTrk_Scale_1down,426715.0980834961,467946.06384277344,7915.641957383137
MUON_ID_1down,426681.95001220703,468292.1086425781,7940.054895401001
MUON_MS_1down,426126.65966796875,468039.9718017578,7944.117868423462
MUON_SAGITTA_RESBIAS_1down,427452.5017089844,469249.42108154297,7958.087530136108
MUON_SAGITTA_RHO_1down,427582.62353515625,467552.095703125,7951.010990142822
MUON_SCALE_1down,428293.18280029297,469708.73291015625,7961.309057235718
JET_EtaIntercalibration_NonClosure_2018data_1down,427838.9360961914,467600.9360961914,7904.5239840555005
JET_EtaIntercalibration_NonClosure_highE_1down,426129.6437988281,467794.21533203125,7939.69952879427
JET_EtaIntercalibration_NonClosure_negEta_1down,426126.11462402344,467687.83001708984,7942.108822922688
JET_EtaIntercalibration_NonClosure_posEta_1down,426522.8117675781,468027.23736572266,7928.490073304158
JET_Flavor_Response_1down,425715.8561401367,467514.12145996094,7931.750973847229
JET_GroupedNP_1_1down,426416.01989746094,468133.62713623047,7943.639249181375
JET_GroupedNP_2_1down,427568.6156616211,468078.4482421875,7940.6753190672025
JET_GroupedNP_3_1down,426053.14556884766,467398.46826171875,7945.290915578138
JET_JER_DataVsMC_MC16_1down,427494.77490234375,468012.6983642578,7939.700228950474
JET_JER_EffectiveNP_1_1down,427920.5340576172,468090.01092529297,7931.575474980753
JET_JER_EffectiveNP_2_1down,428190.3247680664,467943.9201660156,7944.942897184286
JET_JER_EffectiveNP_3_1down,426883.6138305664,468010.7055053711,7941.014924351126
JET_JER_EffectiveNP_4_1down,426514.0775756836,467964.25201416016,7918.5395785253495
JET_JER_EffectiveNP_5_1down,428080.1959838867,467929.75970458984,7934.460612424649
JET_JER_EffectiveNP_6_1down,427693.3265991211,467710.7904663086,7924.797793505248
JET_JER_EffectiveNP_7restTerm_1down,427880.84729003906,468067.90899658203,7950.719710485078
JET_TILECORR_Uncertainty_1down,427454.328125,467648.66888427734,7941.604657273274
